Query,Response
How can I check my data usage?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
What is the process to upgrade my plan?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
How can I pay my bill online?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
Can I change my billing address online,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
Can I change my billing address online,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
What can I pay my bill online,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What is the customer service number?,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
Why is my internet speed slow,You can check your data usage via the mobile app or by logging into your account on our website.
What is the customer service number?,You can check your data usage via the mobile app or by logging into your account on our website.
What should I do if my SIM card is not working,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
What is the customer service number?,Current offers on mobile plans can be found on our website under the 'Promotions' section Kindly contact support for more details.
What can I pay my bill online,Current offers on mobile plans can be found on our website under the 'Promotions' section.
What is the customer service number,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What can I pay my bill online,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
Can I change my billing address online?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What do I activate international roaming,You can report a network issue through our mobile app or by calling our customer service number.
What is the process to upgrade my plan,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
Why is my internet speed slow?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
Why is my internet speed slow?,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
Can I change my billing address online,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
Why is my internet speed slow,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What are the current offers on mobile plans?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
How can I check my data usage?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
How do I activate international roaming?,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
Can I change my billing address online?,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
How can I check my data usage?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
How do I report a network issue?,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
What is the customer service number?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
How can I check my data usage?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
What are the current offers on mobile plans?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
Why is my internet speed slow?,Current offers on mobile plans can be found on our website under the 'Promotions' section.
How can I pay my bill online?,Current offers on mobile plans can be found on our website under the 'Promotions' section.
How can I check my data usage?,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
Why is my internet speed slow?,Slow internet speed can be caused by network congestion Kindly contact support for more details. Try restarting your router or contact customer support for assistance Kindly contact support for more details.
What is the process to upgrade my plan,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
What should I do if my SIM card is not working?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What is the process to upgrade my plan?,You can check your data usage via the mobile app or by logging into your account on our website.
Why is my internet speed slow,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
How do I activate international roaming?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What is the process to upgrade my plan?,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
Why is my internet speed slow,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
How do I activate international roaming?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
What should I do if my SIM card is not working?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
How can I check my data usage?,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What is the process to upgrade my plan?,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
What is the customer service number,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What are the current offers on mobile plans,Current offers on mobile plans can be found on our website under the 'Promotions' section.
Can I change my billing address online?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
What should I do if my SIM card is not working?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What is the customer service number,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
What should I do if my SIM card is not working?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
How do I activate international roaming?,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
What are the current offers on mobile plans,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
Why is my internet speed slow,You can check your data usage via the mobile app or by logging into your account on our website.
What is the customer service number?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What is the customer service number,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
What is the customer service number,Current offers on mobile plans can be found on our website under the 'Promotions' section Kindly contact support for more details.
What should I do if my SIM card is not working,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
What is the customer service number?,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
How can I pay my bill online?,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
What is the process to upgrade my plan?,You can report a network issue through our mobile app or by calling our customer service number.
Can I change my billing address online,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What is the process to upgrade my plan,Slow internet speed can be caused by network congestion Kindly contact support for more details. Try restarting your router or contact customer support for assistance Kindly contact support for more details.
Why is my internet speed slow,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
What is the process to upgrade my plan?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
How do I activate international roaming?,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
What is the customer service number?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What should I do if my SIM card is not working?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
Why is my internet speed slow,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
Can I change my billing address online?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What do I report a network issue,Current offers on mobile plans can be found on our website under the 'Promotions' section Kindly contact support for more details.
What can I check my data usage,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
What can I check my data usage,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
How do I report a network issue?,You can check your data usage via the mobile app or by logging into your account on our website.
Why is my internet speed slow?,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
How can I pay my bill online?,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
What is the process to upgrade my plan?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What is the customer service number,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
What is the customer service number?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
Why is my internet speed slow?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What is the process to upgrade my plan,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
How can I check my data usage?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
Can I change my billing address online,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
What are the current offers on mobile plans,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
What are the current offers on mobile plans,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
Can I change my billing address online,You can check your data usage via the mobile app or by logging into your account on our website.
How can I pay my bill online?,You can report a network issue through our mobile app or by calling our customer service number.
What can I pay my bill online,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
How do I activate international roaming?,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
Can I change my billing address online?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
How do I activate international roaming?,Current offers on mobile plans can be found on our website under the 'Promotions' section.
What do I activate international roaming,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
Why is my internet speed slow,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What is the customer service number?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What should I do if my SIM card is not working,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
Why is my internet speed slow,Current offers on mobile plans can be found on our website under the 'Promotions' section.
What are the current offers on mobile plans?,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
Why is my internet speed slow?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What should I do if my SIM card is not working,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What do I report a network issue,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What is the customer service number?,You can check your data usage via the mobile app or by logging into your account on our website.
What should I do if my SIM card is not working,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What do I report a network issue,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
Can I change my billing address online?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
Why is my internet speed slow,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What is the process to upgrade my plan,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What should I do if my SIM card is not working?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
How do I report a network issue?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
What are the current offers on mobile plans,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What are the current offers on mobile plans,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
What can I check my data usage,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
What is the process to upgrade my plan?,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
How do I activate international roaming?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
How do I report a network issue?,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
Can I change my billing address online,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
Why is my internet speed slow?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What can I pay my bill online,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
What do I activate international roaming,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What is the process to upgrade my plan,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What can I check my data usage,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
Why is my internet speed slow,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
Can I change my billing address online,Current offers on mobile plans can be found on our website under the 'Promotions' section.
What is the customer service number,You can report a network issue through our mobile app or by calling our customer service number.
What do I activate international roaming,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
What are the current offers on mobile plans?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
How can I check my data usage?,Current offers on mobile plans can be found on our website under the 'Promotions' section Kindly contact support for more details.
What can I check my data usage,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
How do I activate international roaming?,You can check your data usage via the mobile app or by logging into your account on our website.
What is the process to upgrade my plan?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
How can I pay my bill online?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What is the process to upgrade my plan,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
What is the process to upgrade my plan?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
Can I change my billing address online,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What should I do if my SIM card is not working?,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What are the current offers on mobile plans,You can check your data usage via the mobile app or by logging into your account on our website.
What can I pay my bill online,Slow internet speed can be caused by network congestion Kindly contact support for more details. Try restarting your router or contact customer support for assistance Kindly contact support for more details.
What are the current offers on mobile plans,You can report a network issue through our mobile app or by calling our customer service number.
What are the current offers on mobile plans,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
Can I change my billing address online,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
What is the customer service number?,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What is the customer service number,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What are the current offers on mobile plans,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
How can I pay my bill online?,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
What are the current offers on mobile plans,Current offers on mobile plans can be found on our website under the 'Promotions' section.
How do I activate international roaming?,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
Why is my internet speed slow?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What should I do if my SIM card is not working,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app Kindly contact support for more details."
How can I check my data usage?,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
How can I check my data usage?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
Can I change my billing address online,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
What can I check my data usage,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
Can I change my billing address online,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What is the customer service number?,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
How do I report a network issue?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What can I pay my bill online,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
How do I report a network issue?,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
What can I pay my bill online,You can check your data usage via the mobile app or by logging into your account on our website.
What should I do if my SIM card is not working?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
What are the current offers on mobile plans?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
What can I check my data usage,Current offers on mobile plans can be found on our website under the 'Promotions' section.
Why is my internet speed slow,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
What is the process to upgrade my plan,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
What is the customer service number?,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
What can I pay my bill online,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
What are the current offers on mobile plans?,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
What is the customer service number?,Current offers on mobile plans can be found on our website under the 'Promotions' section.
Why is my internet speed slow,"Yes, you can change your billing address online by logging into your account and updating your profile details Kindly contact support for more details."
What can I pay my bill online,Current offers on mobile plans can be found on our website under the 'Promotions' section Kindly contact support for more details.
What is the customer service number?,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
How can I check my data usage?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
What is the process to upgrade my plan?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
What do I report a network issue,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
Can I change my billing address online,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
Can I change my billing address online,You can check your data usage via the mobile app or by logging into your account on our website.
Why is my internet speed slow,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
Can I change my billing address online,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section Kindly contact support for more details."
What is the process to upgrade my plan,You can report a network issue through our mobile app or by calling our customer service number.
How do I report a network issue?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
What can I pay my bill online,"Yes, you can change your billing address online by logging into your account and updating your profile details."
Why is my internet speed slow?,You can check your data usage via the mobile app or by logging into your account on our website Kindly contact support for more details.
Why is my internet speed slow,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
What should I do if my SIM card is not working,"To upgrade your plan, visit our website, log in to your account, and select 'Upgrade Plan' under the 'My Plans' section."
How can I pay my bill online?,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
What is the customer service number,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
What should I do if my SIM card is not working?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
How can I check my data usage?,"To activate international roaming, send an SMS with the text 'ACT IR' to 12345 or activate it through our mobile app."
What can I check my data usage,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
What is the process to upgrade my plan?,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking Kindly contact support for more details."
What is the process to upgrade my plan,"If your SIM card is not working, try inserting it into another phone. If the issue persists, visit the nearest store for a replacement."
How do I report a network issue?,Current offers on mobile plans can be found on our website under the 'Promotions' section.
What is the process to upgrade my plan,Slow internet speed can be caused by network congestion. Try restarting your router or contact customer support for assistance.
What can I check my data usage,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
What do I activate international roaming,"You can pay your bill online through our mobile app or website using a credit card, debit card, or net banking."
How can I pay my bill online?,"Yes, you can change your billing address online by logging into your account and updating your profile details."
What should I do if my SIM card is not working?,Our customer service number is 1800-123-4567. We are available 24/7 to assist you.
How can I pay my bill online?,Current offers on mobile plans can be found on our website under the 'Promotions' section Kindly contact support for more details.
What do I report a network issue,Current offers on mobile plans can be found on our website under the 'Promotions' section.
How can I check my data usage?,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
Why is my internet speed slow,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
What are the current offers on mobile plans,You can report a network issue through our mobile app or by calling our customer service number Kindly contact support for more details.
Why is my internet speed slow,Our customer service number is 1800-123-4567 Kindly contact support for more details. We are available 24/7 to assist you Kindly contact support for more details.
How do I activate international roaming?,"If your SIM card is not working, try inserting it into another phone Kindly contact support for more details. If the issue persists, visit the nearest store for a replacement Kindly contact support for more details."
